Year,Month,Livestock.Substitution, total 
2019,April,Canned Mackerel,11631773
2019,April,Canned Tunas,24970083
2019,April,Chicken,105028252
2019,April,Chicken Eggs,6784247
2019,August,Canned Mackerel,21345837
2019,August,Canned Tunas,79899962
2019,August,Chicken,62837497
2019,August,Chicken Eggs,2989772
2019,December,Canned Mackerel,21839926
2019,December,Canned Tunas,41347340
2019,December,Chicken,154649055
2019,December,Chicken Eggs,7330574
2019,February,Canned Mackerel,11139898
2019,February,Canned Tunas,26461706
2019,February,Chicken,54414275
2019,February,Chicken Eggs,3483908
2019,January,Canned Mackerel,18578494
2019,January,Canned Tunas,63314803
2019,January,Chicken,54061848
2019,January,Chicken Eggs,3300144
2019,July,Canned Mackerel,8369952
2019,July,Canned Tunas,36755823
2019,July,Chicken,91591901
2019,July,Chicken Eggs,5902709
2019,June,Canned Mackerel,17865573
2019,June,Canned Tunas,39331111
2019,June,Chicken,61164615
2019,June,Chicken Eggs,2244234
2019,March,Canned Mackerel,16688826
2019,March,Canned Tunas,17637007
2019,March,Chicken,86636118
2019,March,Chicken Eggs,2549404
2019,May,Canned Mackerel,18219074
2019,May,Canned Tunas,29278182
2019,May,Chicken,63286762
2019,May,Chicken Eggs,5614298
2019,November,Canned Mackerel,3235166
2019,November,Canned Tunas,42988357
2019,November,Chicken,78369005
2019,November,Chicken Eggs,7060472
2019,October,Canned Mackerel,13423138
2019,October,Canned Tunas,26046387
2019,October,Chicken,78337031
2019,October,Chicken Eggs,9186101
2019,September,Canned Mackerel,20817874
2019,September,Canned Tunas,57137383
2019,September,Chicken,82583285
2019,September,Chicken Eggs,1620850
2020,April,Canned Mackerel,14911578
2020,April,Canned Tunas,18136472
2020,April,Chicken,93767245
2020,April,Chicken Eggs,691482
2020,August,Canned Mackerel,33345243
2020,August,Canned Tunas,88793410
2020,August,Chicken,55289402
2020,August,Chicken Eggs,878206
2020,December,Canned Mackerel,26598666
2020,December,Canned Tunas,97596156
2020,December,Chicken,137084902
2020,December,Chicken Eggs,6110157
2020,February,Canned Mackerel,10763599
2020,February,Canned Tunas,1291329
2020,February,Chicken,79851084
2020,February,Chicken Eggs,2727869
2020,January,Canned Mackerel,6325070
2020,January,Canned Tunas,24566406
2020,January,Chicken,36461490
2020,January,Chicken Eggs,2207924
2020,July,Canned Mackerel,24202150
2020,July,Canned Tunas,72128211
2020,July,Chicken,81984361
2020,July,Chicken Eggs,1558485
2020,June,Canned Mackerel,37222586
2020,June,Canned Tunas,77768746
2020,June,Chicken,86544156
2020,June,Chicken Eggs,1606125
2020,March,Canned Mackerel,8383743
2020,March,Canned Tunas,41777836
2020,March,Chicken,102656261
2020,March,Chicken Eggs,2279385
2020,May,Canned Mackerel,29475963
2020,May,Canned Tunas,11387280
2020,May,Chicken,45498180
2020,May,Chicken Eggs,750978
2020,November,Canned Mackerel,19581696
2020,November,Canned Tunas,38773916
2020,November,Chicken,59330390
2020,November,Chicken Eggs,2087402
2020,October,Canned Mackerel,17273120
2020,October,Canned Tunas,21898638
2020,October,Chicken,46002587
2020,October,Chicken Eggs,1866153
2020,September,Canned Mackerel,28771384
2020,September,Canned Tunas,69733287
2020,September,Chicken,79404736
2020,September,Chicken Eggs,1382319
2021,April,Canned Mackerel,9558848
2021,April,Canned Tunas,21001113
2021,April,Chicken,72715638
2021,April,Chicken Eggs,3340156
2021,August,Canned Mackerel,5219723
2021,August,Canned Tunas,63426906
2021,August,Chicken,67720206
2021,August,Chicken Eggs,8931023
2021,February,Canned Mackerel,17536055
2021,February,Canned Tunas,21707129
2021,February,Chicken,85998075
2021,February,Chicken Eggs,2138730
2021,January,Canned Mackerel,9186463
2021,January,Canned Tunas,37862133
2021,January,Chicken,66584252
2021,January,Chicken Eggs,2118640
2021,July,Canned Mackerel,4297321
2021,July,Canned Tunas,24037166
2021,July,Chicken,40676190
2021,July,Chicken Eggs,918386
2021,June,Canned Mackerel,19881820
2021,June,Canned Tunas,14715743
2021,June,Chicken,106476513
2021,June,Chicken Eggs,1033416
2021,March,Canned Mackerel,3182101
2021,March,Canned Tunas,33055749
2021,March,Chicken,41213187
2021,March,Chicken Eggs,456342
2021,May,Canned Mackerel,16595217
2021,May,Canned Tunas,37614774
2021,May,Chicken,68940719
2021,May,Chicken Eggs,4503674
2021,November,Canned Mackerel,42605005
2021,November,Canned Tunas,15578051
2021,November,Chicken,109497263
2021,November,Chicken Eggs,1546602
2021,October,Canned Mackerel,3793198
2021,October,Canned Tunas,34856793
2021,October,Chicken,23563553
2021,October,Chicken Eggs,450326
2021,September,Canned Mackerel,22122149
2021,September,Canned Tunas,41548449
2021,September,Chicken,78061734
2021,September,Chicken Eggs,10430232
2021,December,Canned Mackerel,36107362
2021,December,Canned Tunas,38665896
2021,December,Chicken,148520188
2021,December,Chicken Eggs,9580466
2022,April,Canned Mackerel,10458019
2022,April,Canned Tunas,67934266
2022,April,Chicken,12860592
2022,April,Chicken Eggs,0
2022,August,Canned Mackerel,22149457
2022,August,Canned Tunas,35558552
2022,August,Chicken,17034924
2022,August,Chicken Eggs,747415
2022,February,Canned Mackerel,29651992
2022,February,Canned Tunas,21392158
2022,February,Chicken,78622289
2022,February,Chicken Eggs,0
2022,January,Canned Mackerel,4348375
2022,January,Canned Tunas,63012394
2022,January,Chicken,36679290
2022,January,Chicken Eggs,0
2022,July,Canned Mackerel,12915557
2022,July,Canned Tunas,31812203
2022,July,Chicken,90131088
2022,July,Chicken Eggs,5303016
2022,June,Canned Mackerel,19582431
2022,June,Canned Tunas,53938127
2022,June,Chicken,42397457
2022,June,Chicken Eggs,0
2022,March,Canned Mackerel,6107447
2022,March,Canned Tunas,9153608
2022,March,Chicken,49915872
2022,March,Chicken Eggs,5632334
2022,May,Canned Mackerel,13895306
2022,May,Canned Tunas,30218422
2022,May,Chicken,35307194
2022,May,Chicken Eggs,1305926
2022,September,Canned Mackerel,27880000
2022,September,Canned Tunas,40800000
2022,September,Chicken,59130000
2022,September,Chicken Eggs,2380000
2023,January,Canned Mackerel,8433110
2023,January,Canned Tunas,80179212
2023,January,Chicken,48297780
2023,January,Chicken Eggs,5979686
2023,February,Canned Mackerel,4173725
2023,February,Canned Tunas,33030443
2023,February,Chicken,56224962
2023,February,Chicken Eggs,0
2023,March,Canned Mackerel,14295144
2023,March,Canned Tunas,17427183
2023,March,Chicken,46703395
2023,March,Chicken Eggs,5227440
2023,April,Canned Mackerel,47457013
2023,April,Canned Tunas,88109002
2023,April,Chicken,17315296
2023,April,Chicken Eggs,3123575
2023,May,Canned Mackerel,35484460
2023,May,Canned Tunas,103553459
2023,May,Chicken,49335397
2023,May,Chicken Eggs,927053
2023,June,Canned Mackerel,45063298
2023,June,Canned Tunas,73868264
2023,June,Chicken,53204863
2023,June,Chicken Eggs,0
2023,July,Canned Mackerel,3529394
2023,July,Canned Tunas,50107798
2023,July,Chicken,50236420
2023,July,Chicken Eggs,30240923
2023,August,Canned Mackerel,4706065
2023,August,Canned Tunas,140710690
2023,August,Chicken,134643627
2023,August,Chicken Eggs,15952920
2023,September,Canned Mackerel,25274592
2023,September,Canned Tunas,44220462
2023,September,Chicken,147731707
2023,September,Chicken Eggs,17207847
2023,October,Canned Mackerel,26255723
2023,October,Canned Tunas,15278944
2023,October,Chicken,80822600
2023,October,Chicken Eggs,18812556
2023,November,Canned Mackerel,16778418
2023,November,Canned Tunas,95590943
2023,November,Chicken,52722574
2023,November,Chicken Eggs,11248700
2023,December,Canned Mackerel,19988709
2023,December,Canned Tunas,91807457
2023,December,Chicken,170044068
2023,December,Chicken Eggs,22716190
2024,January,Canned Mackerel,29486447
2024,January,Canned Tunas,21828964
2024,January,Chicken,206568801
2024,January,Chicken Eggs,28288355
2024,February,Canned Mackerel,4028479
2024,February,Canned Tunas,50764231
2024,February,Chicken,98518777
2024,February,Chicken Eggs,17897751
2024,March,Canned Mackerel,21762270
2024,March,Canned Tunas,38040640
2024,March,Chicken,61818144
2024,March,Chicken Eggs,11560144
2024,April,Canned Mackerel,19077076
2024,April,Canned Tunas,73676146
2024,April,Chicken,53512655
2024,April,Chicken Eggs,19261824
2024,May,Canned Mackerel,7000000
2024,May,Canned Tunas,45306594
2024,May,Chicken,52797594
2024,May,Chicken Eggs,14052468
2024,June,Canned Mackerel,9284359
2024,June,Canned Tunas,66066477
2024,June,Chicken,72693496
2024,June,Chicken Eggs,3708158
2024,July,Canned Mackerel,27129903
2024,July,Canned Tunas,61564335
2024,July,Chicken,66182770
2024,July,Chicken Eggs,14582041
2024,August,Canned Mackerel,3215431
2024,August,Canned Tunas,35639691
2024,August,Chicken,36731275
2024,August,Chicken Eggs,7176148
2024,September,Canned Mackerel,7497942
2024,September,Canned Tunas,8837568
2024,September,Chicken,15496173
2024,September,Chicken Eggs,7961126
2024,October,Canned Mackerel,3215431
2024,October,Canned Tunas,35639691
2024,October,Chicken,36731275
2024,October,Chicken Eggs,7176148
2024,November,Canned Mackerel,19291262
2024,November,Canned Tunas,29207583
2024,November,Chicken,122179093
2024,November,Chicken Eggs,18297977
